period,subba,subba-name,parent,parent-name,value,value-units
2024-03-21T11,ZONJ,New York City,NYIS,New York Independent System Operator,5163,megawatthours
2024-03-21T10,ZONJ,New York City,NYIS,New York Independent System Operator,4689,megawatthours
2024-03-21T09,ZONJ,New York City,NYIS,New York Independent System Operator,4433,megawatthours
2024-03-21T08,ZONJ,New York City,NYIS,New York Independent System Operator,4381,megawatthours
2024-03-21T07,ZONJ,New York City,NYIS,New York Independent System Operator,4415,megawatthours
2024-03-21T06,ZONJ,New York City,NYIS,New York Independent System Operator,4500,megawatthours
2024-03-21T05,ZONJ,New York City,NYIS,New York Independent System Operator,4670,megawatthours
2024-03-21T04,ZONJ,New York City,NYIS,New York Independent System Operator,4909,megawatthours
2024-03-21T03,ZONJ,New York City,NYIS,New York Independent System Operator,5200,megawatthours
2024-03-21T02,ZONJ,New York City,NYIS,New York Independent System Operator,5475,megawatthours
2024-03-21T01,ZONJ,New York City,NYIS,New York Independent System Operator,5624,megawatthours
2024-03-21T00,ZONJ,New York City,NYIS,New York Independent System Operator,5710,megawatthours
2024-03-20T23,ZONJ,New York City,NYIS,New York Independent System Operator,5676,megawatthours
2024-03-20T22,ZONJ,New York City,NYIS,New York Independent System Operator,5766,megawatthours
2024-03-20T21,ZONJ,New York City,NYIS,New York Independent System Operator,5714,megawatthours
2024-03-20T20,ZONJ,New York City,NYIS,New York Independent System Operator,5589,megawatthours
2024-03-20T19,ZONJ,New York City,NYIS,New York Independent System Operator,5605,megawatthours
2024-03-20T18,ZONJ,New York City,NYIS,New York Independent System Operator,5653,megawatthours
2024-03-20T17,ZONJ,New York City,NYIS,New York Independent System Operator,5682,megawatthours
2024-03-20T16,ZONJ,New York City,NYIS,New York Independent System Operator,5728,megawatthours
2024-03-20T15,ZONJ,New York City,NYIS,New York Independent System Operator,5710,megawatthours
2024-03-20T14,ZONJ,New York City,NYIS,New York Independent System Operator,5656,megawatthours
2024-03-20T13,ZONJ,New York City,NYIS,New York Independent System Operator,5508,megawatthours
2024-03-20T12,ZONJ,New York City,NYIS,New York Independent System Operator,5284,megawatthours
2024-03-20T11,ZONJ,New York City,NYIS,New York Independent System Operator,4857,megawatthours
2024-03-20T10,ZONJ,New York City,NYIS,New York Independent System Operator,4398,megawatthours
2024-03-20T09,ZONJ,New York City,NYIS,New York Independent System Operator,4174,megawatthours
2024-03-20T08,ZONJ,New York City,NYIS,New York Independent System Operator,4138,megawatthours
2024-03-20T07,ZONJ,New York City,NYIS,New York Independent System Operator,4205,megawatthours
2024-03-20T06,ZONJ,New York City,NYIS,New York Independent System Operator,4326,megawatthours
2024-03-20T05,ZONJ,New York City,NYIS,New York Independent System Operator,4508,megawatthours
2024-03-20T04,ZONJ,New York City,NYIS,New York Independent System Operator,4793,megawatthours
2024-03-20T03,ZONJ,New York City,NYIS,New York Independent System Operator,5136,megawatthours
2024-03-20T02,ZONJ,New York City,NYIS,New York Independent System Operator,5439,megawatthours
2024-03-20T01,ZONJ,New York City,NYIS,New York Independent System Operator,5629,megawatthours
2024-03-20T00,ZONJ,New York City,NYIS,New York Independent System Operator,5736,megawatthours
2024-03-19T23,ZONJ,New York City,NYIS,New York Independent System Operator,5703,megawatthours
2024-03-19T22,ZONJ,New York City,NYIS,New York Independent System Operator,5747,megawatthours
2024-03-19T21,ZONJ,New York City,NYIS,New York Independent System Operator,5705,megawatthours
2024-03-19T20,ZONJ,New York City,NYIS,New York Independent System Operator,5619,megawatthours
2024-03-19T19,ZONJ,New York City,NYIS,New York Independent System Operator,5614,megawatthours
2024-03-19T18,ZONJ,New York City,NYIS,New York Independent System Operator,5633,megawatthours
2024-03-19T17,ZONJ,New York City,NYIS,New York Independent System Operator,5671,megawatthours
2024-03-19T16,ZONJ,New York City,NYIS,New York Independent System Operator,5686,megawatthours
2024-03-19T15,ZONJ,New York City,NYIS,New York Independent System Operator,5714,megawatthours
2024-03-19T14,ZONJ,New York City,NYIS,New York Independent System Operator,5731,megawatthours
2024-03-19T13,ZONJ,New York City,NYIS,New York Independent System Operator,5646,megawatthours
